OUTPUT GOES HERE

Started
Values received are
N is: 7
P is: 5
C is: 3
X is: 16
Ptime is: 1
Ctime is: 1

1 was produced by producer -->	 5
2 was produced by producer -->	 5
3 was produced by producer -->	 1
4 was produced by producer -->	 1
5 was produced by producer -->	 1
1 was consumed by consumer -->	 2
2 was consumed by consumer -->	 3
3 was consumed by consumer -->	 3
4 was consumed by consumer -->	 3
6 was produced by producer -->	 5
7 was produced by producer -->	 5
9 was produced by producer -->	 1
10 was produced by producer -->	 1
5 was consumed by consumer -->	 2
8 was produced by producer -->	 1
6 was consumed by consumer -->	 3
11 was produced by producer -->	 1
7 was consumed by consumer -->	 2
12 was produced by producer -->	 5
14 was produced by producer -->	 5
9 was consumed by consumer -->	 3
15 was produced by producer -->	 1
10 was consumed by consumer -->	 3
13 was produced by producer -->	 1
16 was produced by producer -->	 5
8 was consumed by consumer -->	 2
17 was produced by producer -->	 5
11 was consumed by consumer -->	 3
18 was produced by producer -->	 1
12 was consumed by consumer -->	 3
19 was produced by producer -->	 1
14 was consumed by consumer -->	 2
22 was produced by producer -->	 5
15 was consumed by consumer -->	 3
13 was consumed by consumer -->	 3
23 was produced by producer -->	 5
20 was produced by producer -->	 1
16 was consumed by consumer -->	 2
24 was produced by producer -->	 1
17 was consumed by consumer -->	 3
21 was produced by producer -->	 1
18 was consumed by consumer -->	 3
27 was produced by producer -->	 1
19 was consumed by consumer -->	 3
26 was produced by producer -->	 5
22 was consumed by consumer -->	 3
25 was produced by producer -->	 5
23 was consumed by consumer -->	 2
28 was produced by producer -->	 1
20 was consumed by consumer -->	 3
29 was produced by producer -->	 1
24 was consumed by consumer -->	 3
30 was produced by producer -->	 1
21 was consumed by consumer -->	 2
31 was produced by producer -->	 5
27 was consumed by consumer -->	 2
35 was produced by producer -->	 1
26 was consumed by consumer -->	 3
33 was produced by producer -->	 1
25 was consumed by consumer -->	 3
34 was produced by producer -->	 1
28 was consumed by consumer -->	 2
29 was consumed by consumer -->	 3
36 was produced by producer -->	 5
30 was consumed by consumer -->	 3
39 was produced by producer -->	 1
37 was produced by producer -->	 1
